code,date,hour,total,value,temp,wspd,prcp,coco
Esch,2022-01-01,01:00,442,19.0,10.0,10.8,0.0,5.0
Luxembourg,2022-01-01,01:00,290,16.0,10.0,10.8,0.0,5.0
Esch,2022-01-02,01:00,290,17.0,6.6,10.8,0.0,1.0
Luxembourg,2022-01-02,01:00,88,17.0,6.6,10.8,0.0,1.0
Esch,2022-01-03,01:00,198,16.0,8.2,25.2,0.0,5.0
Luxembourg,2022-01-03,01:00,18,5.0,8.2,25.2,0.0,5.0
Esch,2022-01-04,01:00,170,4.0,8.2,18.0,0.0,7.0
Luxembourg,2022-01-04,01:00,88,4.0,8.2,18.0,0.0,7.0
Esch,2022-01-05,01:00,170,10.0,5.0,18.0,0.0,5.0
Luxembourg,2022-01-05,01:00,54,5.0,5.0,18.0,0.0,5.0
Esch,2022-01-06,01:00,172,38.0,2.5,18.0,0.0,5.0
Luxembourg,2022-01-06,01:00,52,11.0,2.5,18.0,0.0,5.0
Esch,2022-01-07,01:00,146,6.0,-0.5,10.8,0.0,5.0
Luxembourg,2022-01-07,01:00,98,12.0,-0.5,10.8,0.0,5.0
Esch,2022-01-08,01:00,310,19.0,1.5,14.4,0.0,7.0
Luxembourg,2022-01-08,01:00,192,13.0,1.5,14.4,0.0,7.0
Esch,2022-01-09,01:00,434,7.0,3.6,21.6,0.0,7.0
Luxembourg,2022-01-09,01:00,162,5.0,3.6,21.6,0.0,7.0
Esch,2022-01-10,01:00,130,21.0,-0.4,3.6,0.0,5.0
Luxembourg,2022-01-10,01:00,104,7.0,-0.4,3.6,0.0,5.0
Esch,2022-01-11,01:00,164,10.0,-1.7,7.2,0.0,5.0
Luxembourg,2022-01-11,01:00,66,10.0,-1.7,7.2,0.0,5.0
Esch,2022-01-12,01:00,142,35.0,-5.0,10.8,0.0,5.0
Luxembourg,2022-01-12,01:00,68,21.0,-5.0,10.8,0.0,5.0
Esch,2022-01-13,01:00,122,11.0,0.0,14.4,0.0,5.0
Luxembourg,2022-01-13,01:00,92,12.0,0.0,14.4,0.0,5.0
Esch,2022-01-14,01:00,208,26.0,0.7,7.2,0.0,1.0
Luxembourg,2022-01-14,01:00,98,26.0,0.7,7.2,0.0,1.0
Esch,2022-01-15,01:00,348,36.0,0.0,14.4,0.0,1.0
Luxembourg,2022-01-15,01:00,206,34.0,0.0,14.4,0.0,1.0
Esch,2022-01-16,01:00,428,31.0,-1.0,10.8,0.0,5.0
Luxembourg,2022-01-16,01:00,204,33.0,-1.0,10.8,0.0,5.0
Esch,2022-01-17,01:00,112,10.0,-0.2,14.4,0.0,7.0
Luxembourg,2022-01-17,01:00,50,12.0,-0.2,14.4,0.0,7.0
Esch,2022-01-18,01:00,158,23.0,3.5,14.4,0.0,5.0
Luxembourg,2022-01-18,01:00,66,16.0,3.5,14.4,0.0,5.0
Esch,2022-01-19,01:00,170,9.0,2.1,10.8,0.0,5.0
Luxembourg,2022-01-19,01:00,58,9.0,2.1,10.8,0.0,5.0
Esch,2022-01-20,01:00,144,23.0,3.0,18.0,0.0,7.0
Luxembourg,2022-01-20,01:00,76,18.0,3.0,18.0,0.0,7.0
Esch,2022-01-21,01:00,33,23.0,0.0,10.8,0.0,5.0
Luxembourg,2022-01-21,01:00,104,15.0,0.0,10.8,0.0,5.0
Esch,2022-01-22,01:00,366,30.0,2.0,14.4,0.0,5.0
Luxembourg,2022-01-22,01:00,196,8.0,2.0,14.4,0.0,5.0
Esch,2022-01-23,01:00,552,17.0,2.7,14.4,0.0,5.0
Luxembourg,2022-01-23,01:00,232,7.0,2.7,14.4,0.0,5.0
Esch,2022-01-24,01:00,134,8.0,2.2,14.4,0.0,5.0
Luxembourg,2022-01-24,01:00,68,7.0,2.2,14.4,0.0,5.0
Esch,2022-01-25,01:00,112,20.0,-1.4,14.4,0.0,5.0
Luxembourg,2022-01-25,01:00,84,12.0,-1.4,14.4,0.0,5.0
Esch,2022-01-26,01:00,144,37.0,-2.0,7.6,0.0,5.0
Luxembourg,2022-01-26,01:00,80,33.0,-2.0,7.6,0.0,5.0
Esch,2022-01-27,01:00,138,11.0,-1.2,18.0,0.0,7.0
Luxembourg,2022-01-27,01:00,74,10.0,-1.2,18.0,0.0,7.0
Esch,2022-01-28,01:00,186,12.0,2.2,18.0,0.0,5.0
Luxembourg,2022-01-28,01:00,110,12.0,2.2,18.0,0.0,5.0
Esch,2022-01-29,01:00,436,12.0,1.7,18.0,0.0,5.0
Luxembourg,2022-01-29,01:00,218,10.0,1.7,18.0,0.0,5.0
Esch,2022-01-30,01:00,586,16.0,7.2,14.4,0.0,7.0
Luxembourg,2022-01-30,01:00,242,7.0,7.2,14.4,0.0,7.0
Esch,2022-01-31,01:00,154,5.0,1.2,10.8,0.0,5.0
Luxembourg,2022-01-31,01:00,70,11.0,1.2,10.8,0.0,5.0
Esch,2022-02-01,01:00,146,19.0,1.7,14.4,0.0,5.0
Luxembourg,2022-02-01,01:00,66,4.0,1.7,14.4,0.0,5.0
Esch,2022-02-02,01:00,168,27.0,7.6,21.6,0.0,5.0
Luxembourg,2022-02-02,01:00,64,5.0,7.6,21.6,0.0,5.0
Esch,2022-02-03,01:00,172,8.0,6.7,14.4,0.0,5.0
Luxembourg,2022-02-03,01:00,96,6.0,6.7,14.4,0.0,5.0
Esch,2022-02-04,01:00,168,12.0,3.7,14.4,0.0,5.0
Luxembourg,2022-02-04,01:00,92,9.0,3.7,14.4,0.0,5.0
Esch,2022-02-05,01:00,460,19.0,0.2,14.4,0.0,1.0
Luxembourg,2022-02-05,01:00,254,13.0,0.2,14.4,0.0,1.0
Esch,2022-02-06,01:00,472,10.0,3.7,25.2,0.0,5.0
Luxembourg,2022-02-06,01:00,238,4.0,3.7,25.2,0.0,5.0
Esch,2022-02-07,01:00,164,18.0,3.6,25.2,0.0,5.0
Luxembourg,2022-02-07,01:00,56,2.0,3.6,25.2,0.0,5.0
Esch,2022-02-08,01:00,154,10.0,1.1,10.8,0.0,5.0
Luxembourg,2022-02-08,01:00,72,15.0,1.1,10.8,0.0,5.0
Esch,2022-02-09,01:00,166,18.0,5.5,7.2,0.0,5.0
Luxembourg,2022-02-09,01:00,74,11.0,5.5,7.2,0.0,5.0
Esch,2022-02-10,01:00,226,22.0,2.7,7.2,0.0,1.0
Luxembourg,2022-02-10,01:00,104,30.0,2.7,7.2,0.0,1.0
Esch,2022-02-11,01:00,182,26.0,2.0,14.4,0.0,7.0
Luxembourg,2022-02-11,01:00,120,8.0,2.0,14.4,0.0,7.0
